epoch,step,test_acc,test_f1,test_loss,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
0,0,,,,0.5003765225410461,0.044636428356170654,0.7058627605438232,,,
0,1,,,,0.5491340160369873,0.05298537015914917,0.6925906538963318,,,
0,2,,,,0.5786897540092468,0.05169491469860077,0.6811403036117554,,,
0,3,,,,0.6114457845687866,0.06606335192918777,0.6699818968772888,,,
0,4,,,,0.6393072009086609,0.0626223087310791,0.658236026763916,,,
0,5,,,,0.6760165691375732,0.06922660768032074,0.6458479762077332,,,
0,6,,,,0.6993599534034729,0.07097149640321732,0.6361761093139648,,,
0,7,,,,0.7285391688346863,0.0919395461678505,0.6241133213043213,,,
0,8,,,,0.7548945546150208,0.08567415922880173,0.6126856803894043,,,
0,9,,,,0.7784262299537659,0.0911196917295456,0.602587878704071,,,
0,10,,,,0.805911123752594,0.10581092536449432,0.5899950265884399,,,
0,11,,,,0.8298192620277405,0.12233009934425354,0.5766116976737976,,,
0,12,,,,0.850338876247406,0.12541253864765167,0.5640487670898438,,,
0,13,,,,0.8640813231468201,0.12378640472888947,0.5461393594741821,,,
0,14,,,,0.8844126462936401,0.15890410542488098,0.5358275175094604,,,
0,15,,,,0.9015436768531799,0.18153364956378937,0.5196360945701599,,,
0,16,,,,0.9147213697433472,0.1982300877571106,0.49820712208747864,,,
0,17,,,,0.9205572009086609,0.20973782241344452,0.48548221588134766,,,
0,18,,,,0.9263930916786194,0.190476194024086,0.4753177762031555,,,
0,19,,,,0.9369352459907532,0.23690204322338104,0.4455268383026123,,,
0,20,,,,0.9427710771560669,0.26213592290878296,0.4427242875099182,,,
0,21,,,,0.946536123752594,0.22826087474822998,0.4181099236011505,,,
0,22,,,,0.9523720145225525,0.29131653904914856,0.4124857187271118,,,
0,23,,,,0.9580195546150208,0.33033034205436707,0.390246719121933,,,
0,24,,,,0.9559487700462341,0.2594936788082123,0.3788723945617676,,,
0,25,,,,0.9557605385780334,0.23948219418525696,0.36629074811935425,,,
0,26,,,,0.9614081382751465,0.27561837434768677,0.3487977385520935,,,
0,27,,,,0.9668674468994141,0.3333333432674408,0.33103910088539124,,,
0,28,,,,0.9676204919815063,0.328125,0.3187367916107178,,,
0,29,,,,0.9715737700462341,0.3628692030906677,0.29334449768066406,,,
0,30,,,,0.9721385836601257,0.36206895112991333,0.2731304168701172,,,
0,31,,,,0.9683734774589539,0.269565224647522,0.27183017134666443,,,
0,32,,,,0.9732680916786194,0.3660714328289032,0.24965529143810272,,,
0,33,,,,0.9745858311653137,0.39461883902549744,0.2373865842819214,,,
0,34,,,,0.9727033376693726,0.3497757911682129,0.22806532680988312,,,
0,35,,,,0.9723268151283264,0.32258063554763794,0.22397276759147644,,,
0,36,,,,0.9732680916786194,0.34259259700775146,0.20811492204666138,,,
0,37,,,,0.9732680916786194,0.33018869161605835,0.19781647622585297,,,
0,38,,,,0.9749623537063599,0.3636363744735718,0.1840895563364029,,,
0,39,,,,0.9728915691375732,0.32710281014442444,0.17729951441287994,,,
0,40,,,,0.9747741222381592,0.3679245412349701,0.17419414222240448,,,
0,41,,,,0.974397599697113,0.33980581164360046,0.16621850430965424,,,
0,42,,,,0.9723268151283264,0.28985506296157837,0.15701352059841156,,,
0,43,,,,0.9723268151283264,0.28985506296157837,0.1489388793706894,,,
0,44,,,,0.974397599697113,0.35849055647850037,0.1359451413154602,,,
0,45,,,,0.9728915691375732,0.3333333432674408,0.14141222834587097,,,
0,46,,,,0.9747741222381592,0.3679245412349701,0.13105018436908722,,,
0,47,,,,0.9738328456878662,0.34741783142089844,0.12811245024204254,,,
0,48,,,,0.9732680916786194,0.36036035418510437,0.12721644341945648,,,
0,49,,,,0.9721385836601257,0.3272727131843567,0.12286825478076935,,,
0,50,,,,0.9759036302566528,0.41818180680274963,0.11735047399997711,,,
0,51,,,,0.9759036302566528,0.4285714328289032,0.11458959430456161,,,
0,52,,,,0.9734563231468201,0.36771300435066223,0.11648789793252945,,,
0,53,,,,0.9738328456878662,0.3766816258430481,0.11234104633331299,,,
0,54,,,,0.9736445546150208,0.35779815912246704,0.10761982202529907,,,
0,55,,,,0.9732680916786194,0.3660714328289032,0.10510729253292084,,,
0,56,,,,0.9766566157341003,0.45132744312286377,0.10054482519626617,,,
0,57,,,,0.9728915691375732,0.3571428656578064,0.10789719969034195,,,
0,58,,,,0.9740210771560669,0.37272727489471436,0.1025102511048317,,,
0,59,,,,0.9738328456878662,0.3766816258430481,0.0978904739022255,,,
0,60,,,,0.9747741222381592,0.41228070855140686,0.0977642759680748,,,
0,61,,,,0.9749623537063599,0.40888887643814087,0.09622573852539062,,,
0,62,,,,0.9738328456878662,0.3876652121543884,0.0969061553478241,,,
0,63,,,,0.9706325531005859,0.29729729890823364,0.09408207982778549,,,
0,64,,,,0.9740210771560669,0.3839285671710968,0.09733916819095612,,,
0,65,,,,0.9727033376693726,0.3497757911682129,0.095698282122612,,,
0,66,,,,0.9749623537063599,0.4140969216823578,0.09371719509363174,,,
0,67,,,,0.975338876247406,0.43290042877197266,0.09115277975797653,,,
0,68,,,,0.9760918617248535,0.4304932653903961,0.09290127456188202,,,
0,69,,,,0.9747741222381592,0.4017857015132904,0.08606705069541931,,,
0,70,,,,0.9768449068069458,0.458149790763855,0.08532961457967758,,,
0,71,,,,0.9770331382751465,0.469565212726593,0.0890929326415062,,,
0,72,,,,0.9740210771560669,0.3947368562221527,0.08659274131059647,,,
0,73,,,,0.9764683842658997,0.4588744640350342,0.09153181314468384,,,
0,74,,,,0.9751505851745605,0.43103447556495667,0.08807693421840668,,,
0,75,,,,0.9781626462936401,0.504273533821106,0.08843740820884705,,,
0,76,,,,0.9755271077156067,0.43478259444236755,0.08780622482299805,,,
0,77,,,,0.9755271077156067,0.43478259444236755,0.09042612463235855,,,
0,78,,,,0.9749623537063599,0.42918455600738525,0.08779225498437881,,,
0,79,,,,0.9755271077156067,0.429824560880661,0.08153175562620163,,,
0,80,,,,0.974397599697113,0.4137931168079376,0.08639100193977356,,,
0,81,,,,0.9745858311653137,0.40528634190559387,0.08945722132921219,,,
0,82,,,,0.9762800931930542,0.4521739184856415,0.08343478292226791,,,
0,83,,,,0.9742093086242676,0.3911111056804657,0.08552257716655731,,,
0,84,,,,0.9760918617248535,0.41474655270576477,0.08060015738010406,,,
0,85,,,,0.9736445546150208,0.35779815912246704,0.08386401832103729,,,
0,86,,,,0.9770331382751465,0.4245283007621765,0.08764073252677917,,,
0,87,,,,0.9768449068069458,0.43317973613739014,0.08467762172222137,,,
0,88,,,,0.9736445546150208,0.36936935782432556,0.09296795725822449,,,
0,89,,,,0.9734563231468201,0.3788546323776245,0.08833425492048264,,,
0,90,,,,0.9745858311653137,0.3601895868778229,0.08246318250894547,,,
0,91,,,,0.9745858311653137,0.3835616409778595,0.08487633615732193,,,
0,92,,,,0.9760918617248535,0.40930232405662537,0.08525516837835312,,,
0,93,,,,0.9749623537063599,0.35748791694641113,0.08163327723741531,,,
0,94,,,,0.9728915691375732,0.3076923191547394,0.08615028858184814,,,
0,95,,,,0.9757153391838074,0.39436620473861694,0.08164147287607193,,,
0,96,,,,0.9766566157341003,0.4095238149166107,0.07971901446580887,,,
0,97,,,,0.9751505851745605,0.38317757844924927,0.08291502296924591,,,
0,98,,,,0.9770331382751465,0.4134615361690521,0.07979025691747665,,,
0,99,,,,0.9738328456878662,0.3219512104988098,0.08070968091487885,,,
0,100,,,,0.9770331382751465,0.4245283007621765,0.0747370719909668,,,
0,101,,,,0.9768449068069458,0.3819095492362976,0.08192236721515656,,,
0,102,,,,0.9717620611190796,0.31192660331726074,0.09237885475158691,,,
0,103,,,,0.9760918617248535,0.3981042802333832,0.0771476998925209,,,
0,104,,,,0.9751505851745605,0.37735849618911743,0.0808708444237709,,,
0,105,,,,0.977786123752594,0.4326923191547394,0.07594560086727142,,,
0,106,,,,0.9757153391838074,0.4162895977497101,0.08617759495973587,,,
