epoch,step,train_acc,train_f1,train_loss
0,0,0.4811672270298004,0.055743880569934845,0.7030322551727295
0,1,0.525041401386261,0.0598115511238575,0.6907782554626465
0,2,0.5575330853462219,0.05980650708079338,0.6799572110176086
0,3,0.589197039604187,0.06146572157740593,0.6687938570976257
0,4,0.6357616186141968,0.06581740826368332,0.6561766862869263
0,5,0.6649420261383057,0.06144927442073822,0.6449730396270752
0,6,0.6978476643562317,0.06649616360664368,0.6338930726051331
0,7,0.7313741445541382,0.08720112591981888,0.6215662956237793
0,8,0.7603476643562317,0.09953343868255615,0.6087560653686523
0,9,0.7820777893066406,0.08988764137029648,0.5961232781410217
0,10,0.8122930526733398,0.11684518307447433,0.5847659111022949
0,11,0.8331953883171082,0.12958963215351105,0.5737641453742981
0,12,0.8462334275245667,0.14104045927524567,0.5561174750328064
0,13,0.8590645790100098,0.1324840784072876,0.5476323962211609
0,14,0.882864236831665,0.202816903591156,0.5269632935523987
0,15,0.8954883813858032,0.18940609693527222,0.5198641419410706
0,16,0.9072847962379456,0.1913357377052307,0.5060638785362244
0,17,0.9225993156433105,0.2398373931646347,0.49444884061813354
0,18,0.9325330853462219,0.2624434530735016,0.4743867516517639
0,19,0.9395695328712463,0.28431373834609985,0.46017709374427795
0,20,0.9468129277229309,0.2880886495113373,0.4465382695198059
0,21,0.951572835445404,0.3035714328289032,0.4301503300666809
0,22,0.9536423683166504,0.29113924503326416,0.4142153263092041
0,23,0.9559188485145569,0.3322884142398834,0.3916209638118744
0,24,0.9577814340591431,0.32894736528396606,0.3802304267883301
0,25,0.9635761380195618,0.3888888955116272,0.3651074171066284
0,26,0.9635761380195618,0.3758865296840668,0.34723004698753357
0,27,0.967094361782074,0.43816253542900085,0.3306172788143158
0,28,0.965852677822113,0.4000000059604645,0.3187008798122406
0,29,0.9656456708908081,0.39416059851646423,0.31157052516937256
0,30,0.9660596251487732,0.40145984292030334,0.29403477907180786
0,31,0.9708195328712463,0.4758364260196686,0.28617581725120544
0,32,0.9718543291091919,0.4728682041168213,0.2565585672855377
0,33,0.9706125855445862,0.4453125,0.2510809600353241
0,34,0.9710264801979065,0.4488188922405243,0.23204705119132996
0,35,0.9728890657424927,0.48221343755722046,0.22956837713718414
0,36,0.971647322177887,0.44979920983314514,0.224093958735466
0,37,0.9708195328712463,0.4426877498626709,0.1942993402481079
0,38,0.9701986908912659,0.4285714328289032,0.19704270362854004
0,39,0.970405638217926,0.42105263471603394,0.18392479419708252
0,40,0.9706125855445862,0.42276424169540405,0.18139827251434326
0,41,0.9728890657424927,0.4564315378665924,0.16442053020000458
0,42,0.9735099077224731,0.46666666865348816,0.1598389595746994
0,43,0.9741308093070984,0.47698745131492615,0.14677181839942932
0,44,0.9689569473266602,0.375,0.14952287077903748
0,45,0.9724751710891724,0.4388185739517212,0.14573253691196442
0,46,0.9730960130691528,0.45378151535987854,0.13476407527923584
0,47,0.9689569473266602,0.3644067943096161,0.13668276369571686
0,48,0.972061276435852,0.41558441519737244,0.12824195623397827
