epoch,step,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
0,0,0.4791039228439331,0.06614917516708374,0.7070610523223877,,,
0,1,0.5075300931930542,0.062365591526031494,0.6944705843925476,,,
0,2,0.5619352459907532,0.06583701074123383,0.6801056265830994,,,
0,3,0.6025978922843933,0.07856830954551697,0.668079674243927,,,
0,4,0.6351656913757324,0.0771428570151329,0.6567790508270264,,,
0,5,0.6745105385780334,0.08759894222021103,0.6446284055709839,,,
0,6,0.704066276550293,0.08710801601409912,0.6359861493110657,,,
0,7,0.7387048006057739,0.09043250232934952,0.622872531414032,,,
0,8,0.7695783376693726,0.10132158547639847,0.6046906113624573,,,
0,9,0.7910391688346863,0.09165302664041519,0.5885320901870728,,,
0,10,0.8085466623306274,0.1133391484618187,0.5825870633125305,,,
0,11,0.8301957845687866,0.10869564861059189,0.5712118148803711,,,
0,12,0.8507153391838074,0.12761275470256805,0.5573583245277405,,,
0,13,0.8637048006057739,0.13189448416233063,0.5405856966972351,,,
0,14,0.8785768151283264,0.12483039498329163,0.5257234573364258,,,
0,15,0.8940135836601257,0.15844544768333435,0.5149955749511719,,,
0,16,0.9032379388809204,0.15181517601013184,0.5096648335456848,,,
0,17,0.9098268151283264,0.15520282089710236,0.48234814405441284,,,
0,18,0.9263930916786194,0.20366598665714264,0.4630686640739441,,,
0,19,0.9312876462936401,0.2047930210828781,0.4528479278087616,,,
0,20,0.9401355385780334,0.23188406229019165,0.44616881012916565,,,
0,21,0.9446536302566528,0.2222222238779068,0.4193122386932373,,,
0,22,0.9455949068069458,0.2252010703086853,0.39169010519981384,,,
0,23,0.9546310305595398,0.2805970013141632,0.3976341485977173,,,
0,24,0.959713876247406,0.30519479513168335,0.3742726147174835,,,
0,25,0.9625376462936401,0.2918149530887604,0.3577239215373993,,,
0,26,0.9644201993942261,0.32258063554763794,0.34666743874549866,,,
0,27,0.9685617685317993,0.33992093801498413,0.32676777243614197,,,
0,28,0.9657379388809204,0.2890625,0.30254998803138733,,,
0,29,0.9691265225410461,0.32231405377388,0.2991630733013153,,,
0,30,0.9740210771560669,0.41025641560554504,0.28136369585990906,,,
0,31,0.9723268151283264,0.3690987229347229,0.26709604263305664,,,
0,32,0.9732680916786194,0.36036035418510437,0.2469036728143692,,,
0,33,0.9740210771560669,0.3669724762439728,0.2419920265674591,,,
0,34,0.9732680916786194,0.37168142199516296,0.2332587093114853,,,
0,35,0.9749623537063599,0.39819005131721497,0.21575725078582764,,,
0,36,0.9740210771560669,0.37837839126586914,0.20698349177837372,,,
0,37,0.9766566157341003,0.45614033937454224,0.19918616116046906,,,
0,38,0.9759036302566528,0.4234234094619751,0.18301866948604584,,,
0,39,0.9734563231468201,0.3788546323776245,0.19127875566482544,,,
0,40,0.9734563231468201,0.36199095845222473,0.16841380298137665,,,
0,41,0.9751505851745605,0.4054054021835327,0.15682771801948547,,,
0,42,0.9711973071098328,0.3139013350009918,0.15291231870651245,,,
0,43,0.9728915691375732,0.3571428656578064,0.15874210000038147,,,
0,44,0.9738328456878662,0.3766816258430481,0.13975650072097778,,,
0,45,0.9738328456878662,0.3822222352027893,0.1369912177324295,,,
0,46,0.9736445546150208,0.36936935782432556,0.13352112472057343,,,
0,47,0.9747741222381592,0.3909091055393219,0.1330648511648178,,,
0,48,0.9730798006057739,0.3529411852359772,0.12898769974708557,,,
0,49,0.9727033376693726,0.3438914120197296,0.12160994857549667,,,
0,50,0.9751505851745605,0.37735849618911743,0.11569203436374664,,,
0,51,0.9749623537063599,0.3813953399658203,0.11644487082958221,,,
0,52,0.9732680916786194,0.336448609828949,0.11439783871173859,,,
0,53,0.9736445546150208,0.3457943797111511,0.11106186360120773,,,
0,54,0.9730798006057739,0.3222748935222626,0.11045603454113007,,,
0,55,0.9734563231468201,0.3502304255962372,0.10831160098314285,,,
0,56,0.9747741222381592,0.37383177876472473,0.10181745886802673,,,
0,57,0.9736445546150208,0.35185185074806213,0.10718026012182236,,,
0,58,0.9751505851745605,0.37735849618911743,0.10206471383571625,,,
0,59,0.9730798006057739,0.3348837196826935,0.10293927788734436,,,
0,60,0.9719502925872803,0.3069767355918884,0.09819046407938004,,,
0,61,0.9719502925872803,0.3004694879055023,0.09637204557657242,,,
0,62,0.9710090160369873,0.2666666805744171,0.09926434606313705,,,
0,63,0.9738328456878662,0.3285024166107178,0.0939653068780899,,,
0,64,0.9728915691375732,0.3009708821773529,0.09310634434223175,,,
0,65,0.9728915691375732,0.3076923191547394,0.09969273954629898,,,
0,66,0.9759036302566528,0.3786407709121704,0.08976316452026367,,,
0,67,0.9717620611190796,0.27184465527534485,0.0977281704545021,,,
0,68,0.9728915691375732,0.29411765933036804,0.08898540586233139,,,
0,69,0.9717620611190796,0.27184465527534485,0.09351184219121933,,,
0,70,0.9715737700462341,0.2634146213531494,0.10053741186857224,,,
0,71,0.9730798006057739,0.30243903398513794,0.09221556782722473,,,
0,72,0.9742093086242676,0.3045685291290283,0.08924780040979385,,,
0,73,0.9715737700462341,0.24120603501796722,0.09580446779727936,,,
0,74,0.9721385836601257,0.27450981736183167,0.09060226380825043,,,
0,75,0.9740210771560669,0.3235294222831726,0.08583558350801468,,,
0,76,0.975338876247406,0.36097562313079834,0.0858287587761879,,,
